Zip Code,City,City-Zip,County
97329,Cascadia,Cascadia-97329,Linn
97203,Cathedral Park,Cathedral Park-97203,Multnomah
97523,Cave Junction,Cave Junction-97523,Josephine
97531,Cave Junction,Cave Junction-97531,Josephine
97801,Cayuse,Cayuse-97801,Umatilla
97225,Cedar Hills,Cedar Hills-97225,Washington
97229,Cedar Mill,Cedar Mill-97229,Washington
97068,Cedaroak,Cedaroak-97068,Clackamas
97030,Centennial,Centennial-97030,Multnomah
97233,Centennial,Centennial-97233,Multnomah
97213,Center,Center-97213,Multnomah
97013,Central Point,Central Point-97013,Clackamas
97502,Central Point,Central Point-97502,Jackson
97070,Charbonneau,Charbonneau-97070,Clackamas
97420,Charleston,Charleston-97420,Coos
97731,Chemult,Chemult-97731,Klamath
97055,Cherryville,Cherryville-97055,Clackamas
97419,Cheshire,Cheshire-97419,Lane
97604,Chiloquin,Chiloquin-97604,Klamath
97624,Chiloquin,Chiloquin-97624,Klamath
97639,Chiloquin,Chiloquin-97639,Klamath
97106,Christie,Christie-97106,Washington
97641,Christmas Valley,Christmas Valley-97641,Lake
97015,Clackamas,Clackamas-97015,Clackamas
97086,Clackamas,Clackamas-97086,Clackamas
97045,Clackamas Heights,Clackamas Heights-97045,Clackamas
97004,Clarkes,Clarkes-97004,Clackamas
97001,Clarno,Clarno-97001,Wasco
97016,Clatskanie,Clatskanie-97016,Columbia
97112,Cloverdale,Cloverdale-97112,Tillamook
97408,Coburg,Coburg-97408,Lane
97219,Collins View,Collins View-97219,Multnomah
97017,Colton,Colton-97017,Clackamas
97018,Columbia City,Columbia City-97018,Columbia
97267,Concord,Concord-97267,Clackamas
97211,Concordia,Concordia-97211,Multnomah
97823,Condon,Condon-97823,Gilliam
97420,Coos Bay,Coos Bay-97420,Coos
97423,Coquille,Coquille-97423,Coos
97019,Corbett,Corbett-97019,Multnomah
97201,Corbett-Terwilliger,Corbett-Terwilliger-97201,Multnomah
97113,Cornelius,Cornelius-97113,Washington
97123,Cornelius,Cornelius-97123,Washington
97231,Cornelius Pass,Cornelius Pass-97231,Multnomah
97330,Corvallis,Corvallis-97330,Benton
97331,Corvallis,Corvallis-97331,Benton
97333,Corvallis,Corvallis-97333,Benton
97339,Corvallis,Corvallis-97339,Benton
97424,Cottage Grove,Cottage Grove-97424,Lane
97009,Cottrell,Cottrell-97009,Clackamas
97824,Cove,Cove-97824,Union
97148,Cove Orchard,Cove Orchard-97148,Yamhill
97335,Crabtree,Crabtree-97335,Linn
97732,Crane,Crane-97732,Harney
97604,Crater Lake,Crater Lake-97604,Klamath
97336,Crawfordsville,Crawfordsville-97336,Linn
97733,Crescent,Crescent-97733,Klamath
97733,Crescent Lake,Crescent Lake-97733,Klamath
97202,Creston-Kenilworth,Creston-Kenilworth-97202,Multnomah
97206,Creston-Kenilworth,Creston-Kenilworth-97206,Multnomah
97219,Crestwood,Crestwood-97219,Multnomah
97426,Creswell,Creswell-97426,Lane
97760,Crooked River,Crooked River-97760,Deschutes
97760,Crooked River Ranch,Crooked River Ranch-97760,Deschutes
97218,Cully,Cully-97218,Multnomah
97434,Culp Creek,Culp Creek-97434,Lane
97734,Culver,Culver-97734,Jefferson
97023,Currinsville,Currinsville-97023,Clackamas
97424,Curtin,Curtin-97424,Lane
97625,Dairy,Dairy-97625,Klamath
97880,Dale,Dale-97880,Umatilla
97338,Dallas,Dallas-97338,Polk
97009,Damascus,Damascus-97009,Clackamas
97015,Damascus,Damascus-97015,Clackamas
97089,Damascus,Damascus-97089,Clackamas
97236,Damascus,Damascus-97236,Multnomah
97429,Days Creek,Days Creek-97429,Douglas
97114,Dayton,Dayton-97114,Yamhill
97825,Dayville,Dayville-97825,Grant
97430,Deadwood,Deadwood-97430,Lane
97054,Deer Island,Deer Island-97054,Columbia
97119,Dellwood,Dellwood-97119,Washington
97008,Denneux,Denneux-97008,Washington
97341,Depoe Bay,Depoe Bay-97341,Lincoln
97116,Detour,Detour-97116,Washington
97342,Detroit,Detroit-97342,Marion
97119,Dewey,Dewey-97119,Washington
97431,Dexter,Dexter-97431,Lane
97722,Diamond,Diamond-97722,Harney
97731,Diamond Lake,Diamond Lake-97731,Klamath
97432,Dillard,Dillard-97432,Douglas
97116,Dilley,Dilley-97116,Washington
97470,Dixonville,Dixonville-97470,Douglas
97014,Dodson,Dodson-97014,Hood River
97020,Donald,Donald-97020,Marion
97434,Dorena,Dorena-97434,Lane
97022,Douglass Ridge,Douglass Ridge-97022,Clackamas
